1,Curtis Strange ,542321,"1,178,959",81,154,149,143
2,Lanny Wadkins ,446893,"971,507",104,134,161,156
3,Calvin Peete ,384489,"835,846",23,178,175,59
4,Jim Thorpe ,379091,"824,111",128,37,128,165
5,Raymond Floyd ,378989,"823,889",137,89,139,176
6,Corey Pavin ,367506,"798,926",113,160,172,105
7,Hal Sutton ,365340,"794,217",149,155,163,105
8,Roger Maltbie ,360554,"783,813",121,142,168,123
9,John Mahaffey ,341595,"742,598",129,167,178,74
10,Mark O'Meara ,340840,"740,957",159,66,127,153
11,Craig Stadler ,297926,"647,665",161,50,87,178
12,Joey Sindelar ,282762,"614,700",174,46,165,35
13,Bernhard Langer ,271044,"589,226",162,52,94,145
14,Tom Kite ,258793,"562,593",46,172,143,135
15,Fuzzy Zoeller ,244003,"530,441",157,123,105,161
16,Hubert Green ,233527,"507,667",20,149,84,161
17,Larry Mize ,231041,"502,263",92,165,162,140
18,Tom Watson ,226778,"492,996",172,45,130,123
19,Payne Stewart ,225729,"490,715",152,151,156,151
20,Mac O'Grady ,223808,"486,539",175,60,166,14
